"","Feature","B","B.pval","NB","NB.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"45","x20325_544_47047_9_587",1.81169102094088,0.022977022977023,1.55322577041943,0.030969030969031,2.12466601633823,0.014985014985015,0.172004239653894,0.010989010989011
"46","x29458_616_56535_13_127",1.75489076033188,0.015984015984016,1.66109682167278,0.027972027972028,2.11908990339684,0.00799200799200799,0.0694877850398772,0.11988011988012
"47","x15771_806_56521_7_535",1.7705585149298,0.01998001998002,1.82826128315924,0.00999000999000999,2.07710873932069,0.004995004995005,0.0892223115051838,0.047952047952048
"48","x19168_681_4927_8_965",2.18207220436906,0.000999000999000999,1.53618592798818,0.014985014985015,2.05697058332025,0.004995004995005,0.170120867341884,0.000999000999000999
"49","x6555_453_33413_4_079",1.73482996773243,0.033966033966034,1.99973558963396,0.00799200799200799,2.0365367452256,0.00899100899100899,0.0690447883695382,0.165834165834166
"50","x23966_406_81134_11_575",1.87541272581824,0.018981018981019,1.82850244461498,0.00599400599400599,2.02331994156213,0.014985014985015,0.148096270642316,0.014985014985015
"51","x5651_465_33508_3_807",1.69410678786246,0.035964035964036,1.415440166742,0.046953046953047,1.9309538757924,0.014985014985015,0.0592279980506835,0.187812187812188
"52","x4791_499_281_3_571",1.67800381633793,0.034965034965035,1.80221525588359,0.010989010989011,1.87442661092783,0.020979020979021,0.0877842290860993,0.0549450549450549
"53","x7339_377_30403_4_367",1.92203154247692,0.004995004995005,1.67424113906298,0.00999000999000999,1.83787676777504,0.00899100899100899,0.0305224346076461,0.171828171828172
"54","x13668_768_5525_6_684",1.62125671618359,0.038961038961039,1.64347664542485,0.020979020979021,1.73048326707831,0.020979020979021,0.0187515151515153,0.71028971028971
"55","x3712_467_31378_3_185",1.69410678786246,0.042957042957043,1.63731238737487,0.018981018981019,1.68911611950688,0.026973026973027,0.0839688170459948,0.0739260739260739
"56","x15589_722_5154_7_564",1.62955882944012,0.031968031968032,1.415440166742,0.01998001998002,1.64712122776413,0.031968031968032,0.0726461591239535,0.03996003996004
"57","x32507_622_61287_13_786",1.54081581353547,0.017982017982018,1.39964164456356,0.04995004995005,1.57638761064066,0.02997002997003,0.0821163620284768,0.02997002997003
