"","Feature","Deep Aposymbiotic","Deep Aposymbiotic.pval","Shallow Aposymbiotic","Shallow Aposymbiotic.pval","Shallow Symbiotic","Shallow Symbiotic.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"58","x12282_633_45134_6_134",1.22573502688692,0.0099009900990099,1.37457856297529,0.0099009900990099,1.40510066279939,0.0099009900990099,1.41620539683401,0.0099009900990099,0.11212955465587,0.0099009900990099
"59","x2610_631_3622_2_568",1.37457856297529,0.0099009900990099,1.39964164456356,0.0099009900990099,1.40998991860812,0.0099009900990099,1.41607569277225,0.0099009900990099,0.114337849944009,0.0099009900990099
"60","x13418_792_56016_6_617",1.34406227991274,0.0099009900990099,1.41459540782567,0.0099009900990099,1.38608732070737,0.0099009900990099,1.41551882019355,0.0099009900990099,0.10816,0.0099009900990099
"61","x7918_904_59483_4_512",1.00100150250438,0.0099009900990099,1.36436948635955,0.0099009900990099,1.37457856297529,0.0099009900990099,1.41533303487623,0.0099009900990099,0.112626122716917,0.0099009900990099
"62","x4186_868_50873_3_376",1.00100150250438,0.0396039603960396,1.33297791993682,0.0099009900990099,1.36095679716309,0.0099009900990099,1.41533303487623,0.0099009900990099,0.115101300440922,0.0099009900990099
"63","x10842_955_53935_5_539",1.34406227991274,0.0099009900990099,1.3280556888735,0.0099009900990099,1.39624393454098,0.0099009900990099,1.41508404800271,0.0099009900990099,0.107829115152413,0.0099009900990099
"64","x10278_609_45107_5_375",1.17832947503798,0.0099009900990099,1.415440166742,0.0099009900990099,1.41702878971136,0.0099009900990099,1.41477676469268,0.0099009900990099,0.106241158451685,0.0099009900990099
"65","x12815_832_59532_6_371",0.632708666137081,0.0297029702970297,1.40834895880057,0.0099009900990099,1.39410377306643,0.0099009900990099,1.41454217937033,0.0099009900990099,0.110515767541844,0.0099009900990099
"66","x6109_582_40595_3_981",1.30206927713678,0.0099009900990099,1.40152966315644,0.0099009900990099,1.41285987182396,0.0099009900990099,1.41411597379638,0.0198019801980198,0.104519955350561,0.0099009900990099
"67","x15588_1042_65146_7_509",1.00100150250438,0.0198019801980198,1.32225574896387,0.0099009900990099,1.41120774204966,0.0099009900990099,1.41404451029236,0.0099009900990099,0.120731829573935,0.0099009900990099
"68","x13130_835_47583_6_499",1.65199904149304,0.0099009900990099,1.16543226954412,0.0099009900990099,1.39295213323646,0.0099009900990099,1.41389939741034,0.0099009900990099,0.126408438609935,0.0099009900990099
