Feature,B,B.pval,NB,NB.pval,MeanDecreaseAccuracy,MeanDecreaseAccuracy.pval,MeanDecreaseGini,MeanDecreaseGini.pval
x11271_786_51583_5_708,1.7322299426223824,0.009900990099009901,1.7069056247027656,0.009900990099009901,1.721949465514912,0.009900990099009901,0.20326315789473687,0.009900990099009901
x9267_730_56144_5_004,1.711116104452695,0.009900990099009901,1.7324491727084592,0.009900990099009901,1.7208263782102924,0.009900990099009901,0.2240526315789474,0.009900990099009901
x15851_847_53155_7_584,1.671315676162189,0.009900990099009901,1.725379738510681,0.009900990099009901,1.7195244356430055,0.009900990099009901,0.2165789473684211,0.009900990099009901
x4065_615_40474_3_336,1.7123472155470245,0.009900990099009901,1.7225545903153425,0.009900990099009901,1.7185831778511127,0.009900990099009901,0.2186842105263158,0.009900990099009901
x12463_770_55638_6_203,1.689116119506882,0.009900990099009901,1.7314145763867361,0.009900990099009901,1.718229736335175,0.009900990099009901,0.213,0.009900990099009901
x2318_732_48373_2_304,1.68937573830407,0.009900990099009901,1.7246779103581908,0.009900990099009901,1.711756632068009,0.009900990099009901,0.20510526315789473,0.009900990099009901
x2650_676_42073_2_596,1.6807845895881852,0.009900990099009901,1.7221110871368552,0.009900990099009901,1.711108877306744,0.009900990099009901,0.20078947368421052,0.009900990099009901
x16007_795_50287_7_617,1.681225028817827,0.009900990099009901,1.6736714871807366,0.009900990099009901,1.710846298434586,0.009900990099009901,0.21778947368421053,0.009900990099009901
x16264_980_63037_7_791,1.7144812505395541,0.009900990099009901,1.6955698400670938,0.009900990099009901,1.7099865750155887,0.009900990099009901,0.22015789473684208,0.009900990099009901
x12101_333_24207_6_068,1.7207955249076525,0.009900990099009901,1.6710275173607527,0.009900990099009901,1.7090468105570664,0.009900990099009901,0.21694736842105267,0.009900990099009901
x11317_1088_59716_5_729,1.6372195309031956,0.009900990099009901,1.6954446405664356,0.009900990099009901,1.6983725722556104,0.009900990099009901,0.22389473684210526,0.009900990099009901
x23805_903_56327_11_539,1.5866710570997462,0.009900990099009901,1.7296123236162684,0.009900990099009901,1.697777366522465,0.009900990099009901,0.2180526315789474,0.009900990099009901
x10550_979_53805_5_455,1.6454954993955522,0.009900990099009901,1.7371884732836456,0.009900990099009901,1.6959449743714419,0.009900990099009901,0.21747368421052635,0.009900990099009901
x9266_735_51819_4_995,1.5990442255144885,0.009900990099009901,1.7369425821386189,0.009900990099009901,1.6895903158718033,0.009900990099009901,0.2140526315789474,0.009900990099009901
x11402_635_46669_5_767,1.630518689715704,0.009900990099009901,1.6853386002096864,0.009900990099009901,1.6578524389362193,0.009900990099009901,0.2164736842105263,0.009900990099009901
x14603_785_46143_7_127,1.7309557055750693,0.009900990099009901,1.3852827958926508,0.009900990099009901,1.6226283784568105,0.009900990099009901,0.14992273236282197,0.009900990099009901
x11436_981_55344_5_786,1.406064427875448,0.009900990099009901,1.3894250359418208,0.009900990099009901,1.4170505031628393,0.009900990099009901,0.1475263157894737,0.009900990099009901
x22775_554_51455_10_909,1.4128598718239571,0.019801980198019802,1.4069165197083815,0.009900990099009901,1.4170505031628393,0.009900990099009901,0.14226315789473684,0.009900990099009901
x16252_985_58649_7_789,1.4083489588005664,0.009900990099009901,1.4069165197083817,0.009900990099009901,1.4170505031628393,0.009900990099009901,0.14015789473684212,0.009900990099009901
x7540_877_50567_4_424,1.4145954078256668,0.009900990099009901,1.4138993974103442,0.009900990099009901,1.4170505031628393,0.009900990099009901,0.1403684210526316,0.009900990099009901
x13389_839_54939_6_635,1.416205396834011,0.009900990099009901,1.414776764692675,0.009900990099009901,1.417043052831105,0.009900990099009901,0.14857894736842103,0.009900990099009901
x13123_887_48861_6_497,1.4094570358219116,0.009900990099009901,1.4060644278754482,0.009900990099009901,1.4170136860720615,0.009900990099009901,0.14263157894736844,0.009900990099009901
x11731_1000_6022_5_909,1.413434945330478,0.009900990099009901,1.4112077420496636,0.009900990099009901,1.416960703501811,0.009900990099009901,0.15010526315789474,0.009900990099009901
x4556_609_21034_3_496,1.4118528435048163,0.009900990099009901,1.4014814294262161,0.009900990099009901,1.4169094072514403,0.009900990099009901,0.14857894736842103,0.009900990099009901
x9515_929_52405_5_085,1.416531160805382,0.009900990099009901,1.4121361123177751,0.009900990099009901,1.4168593645420193,0.009900990099009901,0.14673684210526317,0.009900990099009901
x4568_587_22932_3_498,1.4138993974103442,0.009900990099009901,1.405100662799393,0.009900990099009901,1.4167973240623466,0.009900990099009901,0.1481578947368421,0.009900990099009901
x15173_745_48673_7_372,1.4150840480027063,0.009900990099009901,1.416627509569088,0.009900990099009901,1.4167908343381146,0.009900990099009901,0.14425313283208022,0.009900990099009901
x2022_676_4205_2_052,1.4102309216567976,0.009900990099009901,1.3962439345409767,0.009900990099009901,1.4167770833809283,0.009900990099009901,0.14436842105263156,0.009900990099009901
x15467_816_56257_7_483,1.4169906323058947,0.009900990099009901,1.4159136794714977,0.009900990099009901,1.4167543150291215,0.009900990099009901,0.14842105263157895,0.009900990099009901
x5665_635_33514_3_808,1.4163108425908684,0.009900990099009901,1.4170505031628393,0.019801980198019802,1.4167543150291213,0.009900990099009901,0.14347368421052634,0.009900990099009901
x1928_433_27317_1_986,1.409915570609626,0.009900990099009901,1.4131312293597051,0.009900990099009901,1.4163108425908684,0.019801980198019802,0.14642105263157895,0.009900990099009901
x13695_1049_56057_6_725,1.4148600041268948,0.009900990099009901,1.3941037730664323,0.009900990099009901,1.416205396834011,0.009900990099009901,0.1451578947368421,0.009900990099009901
x1941_613_35232_1_994,1.4167543150291217,0.009900990099009901,1.4015296631564385,0.009900990099009901,1.4162053968340107,0.009900990099009901,0.1502105263157895,0.009900990099009901
x4564_631_21996_3_498,1.4142798582952996,0.009900990099009901,1.3976941536882015,0.019801980198019802,1.4161440130998542,0.009900990099009901,0.13768421052631577,0.009900990099009901
x14978_1059_60209_7_283,1.3686995259462877,0.009900990099009901,1.3222557489638673,0.009900990099009901,1.4161087719201981,0.009900990099009901,0.1390710934312525,0.009900990099009901
x7474_839_45555_4_404,1.414430399892982,0.009900990099009901,1.4170090522263192,0.009900990099009901,1.4159993503497015,0.009900990099009901,0.14878947368421053,0.009900990099009901
x11483_999_53034_5_792,1.416723031596784,0.009900990099009901,1.4128598718239571,0.009900990099009901,1.4156264249504258,0.009900990099009901,0.1448421052631579,0.009900990099009901
