"","Feature","%IncMSE","%IncMSE.pval","IncNodePurity","IncNodePurity.pval"
"72","x24985_698_57028_11_904",1.42472989944318,0.0099009900990099,6727612085.68727,0.0792079207920792
"73","x39520_1048_9446_16_011",1.42370694775543,0.0099009900990099,42162226954.7402,0.0099009900990099
"74","x8435_652_45608_4_721",1.42300528271449,0.0099009900990099,11926063.4434791,0.465346534653465
"75","x6213_476_40884_3_994",1.41784071363446,0.0297029702970297,244117.10999707,0.782178217821782
"76","x37782_934_81916_15_302",1.41702326112449,0.0198019801980198,174331609.459108,0.425742574257426
"77","x19203_862_55614_9_034",1.41700378140295,0.0099009900990099,14031181.2530811,0.207920792079208
"78","x25035_855_63416_11_916",1.41694095818234,0.0099009900990099,9966465252.89878,0.0198019801980198
"79","x11464_862_54226_5_762",1.41689198252399,0.0099009900990099,173715537.89044,0.257425742574257
"80","x2588_506_40646_2_548",1.41687188683327,0.0099009900990099,99022153.6497386,0.326732673267327
"81","x40118_934_88021_16_203",1.41640878695908,0.0099009900990099,35617679.4260778,0.257425742574257
"82","x31909_686_60713_13_661",1.41612737858215,0.0198019801980198,1829236160.25791,0.306930693069307
"83","x24253_770_60636_11_681",1.41540651880037,0.0198019801980198,8391613855.93357,0.0891089108910891
"84","x18620_842_59066_8_732",1.41488347770968,0.0297029702970297,4560143.14337024,0.663366336633663
"85","x24838_770_60774_11_835",1.4148541792429,0.0198019801980198,415942339.319279,0.227722772277228
"86","x26813_791_63351_12_443",1.41483875664407,0.0099009900990099,8374515987.62087,0.0594059405940594
"87","x20823_838_56807_9_86",1.41437690263772,0.0099009900990099,117683004.391862,0.405940594059406
"88","x31797_1008_82397_13_657",1.41395228794492,0.0297029702970297,16406381388.4748,0.0594059405940594
"89","x37859_731_63395_15_338",1.41359932010746,0.0099009900990099,23087824039.2425,0.0198019801980198
"90","x30561_596_59924_13_356",1.41315420334221,0.0198019801980198,2734536213.51638,0.148514851485149
"91","x17578_554_47854_8_334",1.41261256754483,0.0099009900990099,1012074063.51449,0.0594059405940594
"92","x31303_706_63007_13_582",1.41027627601774,0.0198019801980198,8452101451.43583,0.0495049504950495
"93","x24917_862_5578_11_831",1.40912898024957,0.0396039603960396,446728910.820693,0.376237623762376
"94","x20309_800_55119_9_604",1.40731095985537,0.0198019801980198,4469536974.28117,0.168316831683168
"95","x21378_606_50817_10_213",1.40642032924096,0.0099009900990099,431778209171.687,0.0099009900990099
"96","x20724_500_27785_9_797",1.40634245843715,0.0099009900990099,1266380.90425781,0.465346534653465
"97","x37343_928_82575_15_164",1.40588671494903,0.0396039603960396,7505970546.17661,0.118811881188119
"98","x31526_687_6106_13_638",1.40539634759872,0.0297029702970297,51764334837.0082,0.0198019801980198
"99","x37738_1054_87833_15_254",1.40510444760757,0.0297029702970297,801703864.983303,0.297029702970297
"100","x35998_1001_75245_14_701",1.40384006688711,0.0198019801980198,7472338999.6411,0.099009900990099
"101","x1557_629_34599_1_735",1.40261177664589,0.0198019801980198,53554438559.2103,0.0099009900990099
"102","x6701_712_51402_4_148",1.40196101352607,0.0099009900990099,18310064.4992252,0.366336633663366
"103","x20298_791_56681_9_655",1.40180288864231,0.0594059405940594,8020626771.42698,0.188118811881188
"104","x39750_938_82094_16_111",1.40162267818938,0.0198019801980198,380716825.028365,0.297029702970297
"105","x27526_691_52707_12_599",1.40014682559947,0.0099009900990099,21834213432.8495,0.0495049504950495
"106","x35822_890_7842_14_632",1.39985722035901,0.0198019801980198,3965333.05479102,0.277227722772277
"107","x38839_916_77404_15_755",1.39475006053096,0.0297029702970297,329272206.280885,0.534653465346535
"108","x33697_880_72684_14_111",1.39377910243018,0.0297029702970297,2901771752.49699,0.138613861386139
"109","x18001_794_57364_8_509",1.39323937910859,0.0594059405940594,455917564768.901,0.0297029702970297
"110","x21835_814_57089_10_382",1.39252473179732,0.0099009900990099,60964765.9058265,0.712871287128713
"111","x8936_966_6323_4_87",1.39213478636103,0.0198019801980198,11165286529.7872,0.0099009900990099
"112","x1285_365_26859_1_54",1.39157576287125,0.0099009900990099,87761060.0577537,0.297029702970297
"113","x29494_684_59286_13_137",1.39146035499731,0.0594059405940594,1949398942.29169,0.217821782178218
"114","x37046_996_79977_15_016",1.39143823181773,0.0099009900990099,286842125.61491,0.326732673267327
"115","x18082_797_51787_8_523",1.3902703801665,0.0099009900990099,120963785353.434,0.0099009900990099
"116","x3189_681_41105_2_969",1.38969008487738,0.0099009900990099,1827894048.06438,0.198019801980198
"117","x39986_958_87991_16_253",1.387105466103,0.0198019801980198,58726820.9032229,0.564356435643564
"118","x17299_696_53984_8_239",1.38656995465905,0.0198019801980198,2343919497.66475,0.207920792079208
"119","x36040_880_73563_14_689",1.38582489988541,0.0198019801980198,118320305.931489,0.495049504950495
"120","x33087_971_70987_13_94",1.38552403655208,0.0198019801980198,1558978717.56188,0.217821782178218
"121","x23593_777_54794_11_417",1.38534035546812,0.0198019801980198,168711560534.961,0.0099009900990099
"122","x8181_644_4297_4_599",1.38502680171819,0.0198019801980198,50974831215.7229,0.0198019801980198
"123","x34467_608_64468_14_253",1.38494531426531,0.0594059405940594,2868481324.47874,0.178217821782178
"124","x20594_772_56173_9_765",1.38416296919404,0.0396039603960396,2164725248.79407,0.237623762376238
"125","x38203_984_80455_15_471",1.3836461948319,0.0297029702970297,72228936.3827743,0.475247524752475
"126","x13432_983_57004_6_627",1.38339850175327,0.0099009900990099,24202866478.5207,0.0099009900990099
"127","x33034_736_64452_13_877",1.38336056080219,0.0198019801980198,73750605701.7615,0.0198019801980198
"128","x40598_948_9012_16_524",1.37874521147,0.0198019801980198,330224353.975339,0.168316831683168
"129","x27404_860_65231_12_586",1.37313098139268,0.0297029702970297,4991164.06103869,0.683168316831683
"130","x33368_869_66296_14_026",1.37298871256897,0.0594059405940594,37449874.9725828,0.693069306930693
"131","x30581_906_73641_13_327",1.3725524679618,0.0099009900990099,12070960118.1788,0.0396039603960396
"132","x35376_1156_34122_14_484",1.37241618715654,0.0198019801980198,13197228.5739152,0.673267326732673
"133","x1352_692_41438_1_609",1.37093749318311,0.0099009900990099,56125276514.1865,0.0099009900990099
"134","x27024_806_64846_12_511",1.37015589873152,0.0099009900990099,37155096.6462521,0.455445544554455
"135","x32784_944_7564_13_854",1.36782451742769,0.0198019801980198,453746196.497347,0.277227722772277
"136","x39278_1011_82955_15_847",1.36761579452376,0.0594059405940594,10209714716.923,0.0792079207920792
"137","x33172_864_70543_13_935",1.36616457849237,0.0198019801980198,556998472.017924,0.346534653465347
"138","x12879_658_47292_6_357",1.36585223333656,0.0099009900990099,1106051464.08953,0.148514851485149
"139","x40265_843_77984_16_35",1.36425834697524,0.0297029702970297,70031321.1334394,0.425742574257426
"140","x32292_856_7401_13_758",1.36354884368719,0.0297029702970297,1575524908.11851,0.128712871287129
"141","x38049_905_75534_15_382",1.36185704842089,0.0396039603960396,25931031333.5315,0.0198019801980198
"142","x35368_1128_31691_14_482",1.36013314042613,0.0297029702970297,65482684.3642241,0.594059405940594
"143","x28408_830_66407_12_827",1.35975600385547,0.0396039603960396,11773252353.9488,0.138613861386139
"144","x22121_578_51417_10_512",1.35845681593647,0.0495049504950495,351840267.539336,0.326732673267327
"145","x26615_724_58855_12_44",1.35843928686835,0.0198019801980198,16568444439.8274,0.0495049504950495
"146","x24799_800_61752_11_874",1.3576883168079,0.0297029702970297,1082672059.36018,0.237623762376238
"147","x27094_679_52848_12_485",1.35578974334407,0.108910891089109,9631723014.83678,0.158415841584158
"148","x12107_811_46323_6_063",1.3544216768168,0.0099009900990099,46761090623.2912,0.0198019801980198
"149","x22487_834_60048_10_677",1.3543945603132,0.0495049504950495,431750690.313144,0.207920792079208
"150","x27921_868_70423_12_699",1.35374294472571,0.0396039603960396,8150397.04369397,0.643564356435644
"151","x20360_670_56369_9_619",1.35126212507901,0.0495049504950495,1778214810.83745,0.168316831683168
"152","x15450_644_49232_7_489",1.35108723988964,0.0099009900990099,7899128201.6556,0.0099009900990099
"153","x24373_888_64672_11_699",1.34979393333295,0.0099009900990099,3961946758.01128,0.099009900990099
"154","x11249_814_54463_5_699",1.34616679016705,0.0198019801980198,11146829627.5671,0.0297029702970297
"155","x39975_976_83346_16_206",1.34358640200701,0.0198019801980198,59032888.4380171,0.376237623762376
"156","x38341_929_7528_15_55",1.34233730029124,0.0297029702970297,485946438.843319,0.207920792079208
"157","x37792_960_83457_15_297",1.34143890660699,0.0495049504950495,2406891018.76937,0.168316831683168
"158","x19344_800_60417_9_097",1.34121061850523,0.0099009900990099,7080767761.71881,0.0594059405940594
"159","x5437_694_52313_3_738",1.33901737314628,0.0198019801980198,1346523018.22495,0.287128712871287
"160","x24433_568_53014_11_75",1.33807352605293,0.0099009900990099,1475282751.03724,0.0792079207920792
"161","x39130_910_78655_15_862",1.33803174395917,0.0099009900990099,15279798192.3634,0.0198019801980198
"162","x1737_351_25285_1_844",1.33706227530575,0.0198019801980198,194578144.036301,0.267326732673267
"163","x34808_590_62442_14_382",1.3342266549214,0.0396039603960396,3318593399.08798,0.128712871287129
"164","x15779_780_6146_7_543",1.33382844434727,0.0297029702970297,312747698.774499,0.455445544554455
"165","x36461_950_81141_14_813",1.32679425664735,0.0594059405940594,93987208.7264804,0.574257425742574
"166","x38621_898_82123_15_631",1.32628022316789,0.0099009900990099,9692205160.75786,0.0198019801980198
"167","x29768_1010_80487_13_141",1.32517054164993,0.0198019801980198,27417914225.8993,0.0495049504950495
"168","x40489_906_88842_16_441",1.32403800310651,0.0099009900990099,851792647.728334,0.178217821782178
"169","x39048_892_83307_15_795",1.32089959847556,0.0198019801980198,1764988857.7215,0.158415841584158
"170","x39685_897_7882_16_098",1.31819789039738,0.0198019801980198,39781479.7675297,0.445544554455446
"171","x39070_862_82117_15_823",1.31743538945901,0.0099009900990099,332722726.872179,0.237623762376238
"172","x39562_917_79294_16_017",1.31355125945938,0.0396039603960396,971401569.107811,0.237623762376238
"173","x24032_827_56321_11_615",1.31337224362797,0.0792079207920792,447454630.505011,0.455445544554455
"174","x39916_932_86586_16_19",1.3126318305692,0.0198019801980198,1353358.91212891,0.465346534653465
"175","x34518_902_78445_14_312",1.31238106927244,0.0198019801980198,1680602626.78755,0.0594059405940594
"176","x15650_766_54633_7_52",1.31050334356845,0.0297029702970297,27621007642.9592,0.0099009900990099
"177","x27309_817_68341_12_623",1.31024386047744,0.099009900990099,74449028419.4819,0.0198019801980198
"178","x25580_786_53995_12_065",1.30483283762951,0.0495049504950495,161925477.840811,0.465346534653465
"179","x9750_728_52423_5_15",1.30354731978804,0.0099009900990099,116617572.888521,0.534653465346535
"180","x39192_954_84393_15_891",1.30315023985196,0.0099009900990099,690468177.70907,0.257425742574257
"181","x37555_982_87878_15_212",1.30263498556371,0.0099009900990099,1718465321.43924,0.099009900990099
"182","x35959_956_78966_14_676",1.30169832639621,0.0198019801980198,392783906.001286,0.297029702970297
"183","x31959_703_60116_13_66",1.30011272721681,0.0198019801980198,3080929888.07435,0.108910891089109
"184","x39346_994_88154_15_966",1.2993960079801,0.0198019801980198,59407905.6788722,0.386138613861386
"185","x7839_441_40518_4_493",1.29848741301386,0.0198019801980198,1062379865.19659,0.277227722772277
"186","x22266_609_59324_10_599",1.29766243200616,0.0396039603960396,2016049273.11834,0.188118811881188
"187","x28099_602_54907_12_766",1.29660256163574,0.0495049504950495,1237448984.06143,0.297029702970297
"188","x31011_733_61578_13_47",1.2954445394481,0.0099009900990099,32476142.3755258,0.277227722772277
"189","x15227_676_55181_7_391",1.29497546925323,0.0495049504950495,2640794823.06084,0.158415841584158
"190","x28013_756_59017_12_713",1.29326493611073,0.0198019801980198,152985950.584235,0.336633663366337
"191","x26349_748_617_12_308",1.293174127493,0.0594059405940594,4111393071.55884,0.217821782178218
"192","x34008_931_77542_14_114",1.29295509985667,0.0297029702970297,490421994.459968,0.227722772277228
"193","x30799_665_65053_13_423",1.29212767511396,0.0198019801980198,3435240921.71094,0.108910891089109
"194","x16918_645_51182_8_065",1.29201567823036,0.0198019801980198,19207036.1025084,0.217821782178218
"195","x25509_574_51883_12_039",1.29201101580907,0.0594059405940594,966340380.3358,0.396039603960396
"196","x1714_333_24239_1_821",1.29151234190675,0.0495049504950495,1553869978.94996,0.168316831683168
"197","x36166_818_72209_14_77",1.29024385765548,0.0198019801980198,1368867.04946191,0.415841584158416
