"","metabolite.X","metabolite.Feature","metabolite.X.IncMSE","metabolite.X.IncMSE.pval","metabolite.IncNodePurity","metabolite.IncNodePurity.pval","log2FC"
"x27404_860_65231_12_586",267,"x27404_860_65231_12_586",1.24138235760358,0.0495049504950495,0.000119077113337926,0.435643564356436,0.763139486613617
"x16494_368_38849_7_868",271,"x16494_368_38849_7_868",1.23436526820696,0.0495049504950495,0.00552775561096928,0.356435643564356,0.149143870900282
"x24994_702_54313_11_895",284,"x24994_702_54313_11_895",1.22196963045736,0.0099009900990099,0.000101471928725028,0.287128712871287,0.587034283335757
"x40457_996_93105_16_441",287,"x40457_996_93105_16_441",1.217424003578,0.0396039603960396,0.0113293702107025,0.0495049504950495,0.468488318638536
"x29452_638_60372_13_079",295,"x29452_638_60372_13_079",1.20205472631726,0.0396039603960396,0.00187725333631616,0.237623762376238,0.427666850291066
"x23133_706_57387_11_227",303,"x23133_706_57387_11_227",1.18619063006596,0.0396039603960396,0.0104476437620346,0.0792079207920792,0.532756964327996
"x39783_970_8822_16_141",310,"x39783_970_8822_16_141",1.17382263185546,0.0396039603960396,0.00269853640901439,0.306930693069307,1.41927970892866
"x24319_740_55535_11_729",316,"x24319_740_55535_11_729",1.16485807095973,0.0495049504950495,0.0140119901715549,0.237623762376238,0.35987935414202
"x40178_972_89569_16_286",320,"x40178_972_89569_16_286",1.1567248359464,0.0198019801980198,0.00249367557521107,0.257425742574257,1.67604136043955
"x33556_904_74153_14_046",325,"x33556_904_74153_14_046",1.14481850118002,0.0495049504950495,8.04703388013195e-09,0.643564356435644,0.864764560116391
"x3212_466_36624_2_977",327,"x3212_466_36624_2_977",1.14120743704854,0.0297029702970297,0.000543898721041094,0.237623762376238,0.146316341362395
"x27088_725_59101_12_494",328,"x27088_725_59101_12_494",1.1408414990679,0.0396039603960396,7.4862479877587e-05,0.435643564356436,0.0124185838345101
"x40064_914_85631_16_238",330,"x40064_914_85631_16_238",1.13986823527416,0.0297029702970297,0.000239441734956853,0.277227722772277,0.795723231181881
"x29224_658_57446_13_049",336,"x29224_658_57446_13_049",1.13023837650336,0.0495049504950495,0.0113231224256731,0.198019801980198,0.470082672137566
"x19611_854_62912_9_235",342,"x19611_854_62912_9_235",1.12615882183408,0.0495049504950495,0.00382409952670366,0.168316831683168,0.690203251504471
"x23083_822_60285_11_114",371,"x23083_822_60285_11_114",1.07879451693384,0.0396039603960396,0.0682745106116081,0.0594059405940594,1.16598169513114
"x36976_998_81139_15_033",372,"x36976_998_81139_15_033",1.07850693574509,0.0198019801980198,0.000440474656271801,0.326732673267327,0.505658678316433
"x32867_926_75811_13_88",376,"x32867_926_75811_13_88",1.07508369578692,0.0396039603960396,0.000258362437344643,0.415841584158416,1.24254296508275
"x34110_926_75884_14_148",379,"x34110_926_75884_14_148",1.07210846111183,0.0396039603960396,9.36978550836187e-06,0.554455445544555,1.63295837964052
"x25384_792_63232_12_067",381,"x25384_792_63232_12_067",1.07156906689796,0.0297029702970297,0.0011561122615592,0.168316831683168,0.561800146074041
"x29821_904_68606_13_153",403,"x29821_904_68606_13_153",1.0538171776994,0.0396039603960396,5.27894501439938e-05,0.356435643564356,3.92427557940266
"x26470_572_54154_12_347",405,"x26470_572_54154_12_347",1.0528782857472,0.0495049504950495,0.0023931674140171,0.465346534653465,0.0882661270608848
"x18330_528_49978_8_598",414,"x18330_528_49978_8_598",1.04041404875037,0.0099009900990099,0.00050300605628643,0.118811881188119,0.311182234869819
