date,timepoint,depth_ft,group,tag_color,tag_no,id,ella_physio_id,full_id,id_time,frag_sym,photo,sample_id,who_sampled,depth,depth_sa
11/9/24,24-Nov,15,new sym,green ,18,S18-A,S18-A,S18-A-1124,S18-A 11/24,A,y,S18-A,EJ SL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,new sym,green ,18,S18-S,S18-S,S18-S-1124,S18-S 11/24,S,y,S18-S,EJ SL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,new sym,green ,19,S19-A,S19-A,S19-A-1124,S19-A 11/24,A,y,S19-A,EJ SL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,new sym,green ,19,S19-S,S19-S,S19-S-1124,S19-S 11/24,S,y,S19-S,EJ SL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,new sym,green ,21,S21-A,S21-A,S21-A-1124,S21-A 11/24,A,y,S21-A,EJ SL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,new sym,green ,21,S21-S,S21-S,S21-S-1124,S21-S 11/24,S,y,S21-S,EJ SL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,new sym,green ,22,S22-A,S22-A,S22-A-1124,S22-A 11/24,A,y,S22-A,EJ SL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,new sym,green ,22,S22-S,S22-S,S22-S-1124,S22-S 11/24,S,y,S22-S,EJ SL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old sym,green,26,S26-A,S26-A,S26-A-1124,S26-A 11/24,A,y,SX5-A,MP CL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old sym,green,26,S26-S,S26-S,S26-S-1124,S26-S 11/24,S,y,SX5-S,MP CL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old sym,green,6,S6-A,S6-A,S6-A-1124,S6-A 11/24,A,y,SX6-A,MP CL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old sym,green,6,S6-S,S6-S,S6-S-1124,S6-S 11/24,S,y,SX6-S,MP CL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old sym,green,7,S7-A,S7-A,S7-A-1124,S7-A 11/24,A,y,S7-A,MP CL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old sym,green,7,S7-S,S7-S,S7-S-1124,S7-S 11/24,S,y,S7-S,MP CL,Shallow,Shallow Symbiotic
11/9/24,24-Nov,15,old sym,green,9,S9-A,S9-A,S9-A-1124,S9-A 11/24,A,y,S9-A,MP CL,Shallow,Shallow Aposymbiotic
11/9/24,24-Nov,15,old sym,green,9,S9-S,S9-S,S9-S-1124,S9-S 11/24,S,y,S9-S,MP CL,Shallow,Shallow Symbiotic
