sample_id,colony_id,a_s_colony,a_s_frag,algae_host,depth_sa,weight_mg,total_N_ug,pct_N,d15N,total_C_ug,pct_C,d13C
S12-S-1124-Algae,S12,S,S,Algae,Shallow Symbiotic,1.8,87.4,9.47,8.02,85.8,48.22,-21.57
S15-S-1124-Algae,S15,S,S,Algae,Shallow Symbiotic,1.81,70.5,7.62,8.55,68.1,38.01,-21.26
S16-S-1124-Algae,S16,S,S,Algae,Shallow Symbiotic,1.52,60.8,7.82,7.77,60.2,40.08,-21.58
S17-S-1124-Algae,S17,S,S,Algae,Shallow Symbiotic,2.07,65.6,6.21,6.67,67.1,32.89,-21.58
S18-S-1124-Algae,S18,S,S,Algae,Shallow Symbiotic,1.63,77.2,9.07,8.69,68.1,41.61,-21.26
S19-S-1124-Algae,S19,S,S,Algae,Shallow Symbiotic,2.08,68.9,6.36,9.6,69.8,33.53,-21.6
S21-S-1124-Algae,S21,S,S,Algae,Shallow Symbiotic,1.73,65.7,7.42,10.12,68.3,39.95,-21.59
S22-S-1124-Algae,S22,S,S,Algae,Shallow Symbiotic,1.49,69.2,8.9,7.28,65.6,43.86,-21.33
S26-S-1124-Algae,S26,S,S,Algae,Shallow Symbiotic,1.52,56.5,7.14,7.66,60.3,39.54,-21.48
S6-S-1124-Algae,S6,S,S,Algae,Shallow Symbiotic,1.88,65.8,6.84,6.91,67.3,36.28,-21.39
S7-S-1124-Algae,S7,S,S,Algae,Shallow Symbiotic,1.88,58.5,6.09,5.03,62.5,33.67,-21.21
S9-S-1124-Algae,S9,S,S,Algae,Shallow Symbiotic,1.66,55.6,6.55,5.08,59.7,36.49,-20.35
A-18-A-1124-Host,A18,A,A,Host,Shallow Aposymbiotic,6.72,147.7,4.29,9.16,114.4,17.25,-20.79
A10-A-1124-Host,A10,A,A,Host,Shallow Aposymbiotic,3.62,89.5,4.75,9.43,68.3,18.86,-20.45
A11-A-new-1124-Host,A11-new,A,A,Host,Shallow Aposymbiotic,5.17,110.1,4.22,9.12,85.2,16.77,-20.67
A11-A-old-1124-Host,A11-old,A,A,Host,Shallow Aposymbiotic,5.02,126.9,5.01,8.91,104.3,21.16,-20.81
A12-A-1124-Host,A12,A,A,Host,Shallow Aposymbiotic,7.32,189.6,5.15,8.78,152.3,21.22,-21.04
A13-A-old-1124-Host,A13-old,A,A,Host,Shallow Aposymbiotic,4.65,218.7,9.33,9.16,187.2,41.06,-20.64
A14-A-new-1124-Host,A14-new,A,A,Host,Shallow Aposymbiotic,5.93,186.3,6.04,8.94,142.4,24.07,-20.72
A14-A-old-1124-Host,A14-old,A,A,Host,Shallow Aposymbiotic,7.4,175.9,4.65,9.46,127.1,17.39,-20.3
A15-A-1124-Host,A15,A,A,Host,Shallow Aposymbiotic,5.98,144.9,4.74,8.99,109.3,18.46,-20.35
A24-A-1124-Host,A24,A,A,Host,Shallow Aposymbiotic,7.82,204.5,5.03,8.48,160.9,20.62,-20.56
A25-A-1124-Host,A25,A,A,Host,Shallow Aposymbiotic,4.76,141.2,5.88,9.24,105.3,22.59,-20.1
A5-A-1124-Host,A5,A,A,Host,Shallow Aposymbiotic,7.58,215.3,5.45,8.98,162.2,21.39,-20.49
A8-A-1124-Host,A8,A,A,Host,Shallow Aposymbiotic,5.79,113.3,3.83,9.21,87.4,15.29,-20.77
A9-A-1124-Host,A9,A,A,Host,Shallow Aposymbiotic,4.62,126.5,5.26,9.13,91.3,19.77,-20.61
D1-1124-Host,D1,A,A,Host,Deep Aposymbiotic,4.11,119.7,5.65,9.66,91.4,22.77,-20.89
D10-1124-Host,D10,A,A,Host,Deep Aposymbiotic,2.71,92.2,6.61,9.11,69.3,26.18,-20.99
D11-1124-Host,D11,A,A,Host,Deep Aposymbiotic,6.19,146.8,4.62,9.44,109.1,18.03,-20.98
D12-1124-Host,D12,A,A,Host,Deep Aposymbiotic,7.23,160.4,4.31,9.14,119.7,16.93,-20.84
D13-1124-Host,D13,A,A,Host,Deep Aposymbiotic,4.36,93.1,4.16,9.52,68.1,15.97,-20.94
D14-1124-Host,D14,A,A,Host,Deep Aposymbiotic,9.03,233.9,5.05,9.01,171.5,19.45,-20.75
D15-1124-Host,D15,A,A,Host,Deep Aposymbiotic,3.1,66.7,4.19,9.29,48,15.85,-21.1
D2-1124-Host,D2,A,A,Host,Deep Aposymbiotic,7.34,200.3,5.3,9.33,144.4,20.12,-19.55
D3-1124-Host,D3,A,A,Host,Deep Aposymbiotic,5.52,143.2,5.04,9.43,116.1,21.53,-21.06
D4-1124-Host,D4,A,A,Host,Deep Aposymbiotic,8.83,229.2,5.04,9.3,182.6,21.1,-21.37
D5-1124-Host,D5,A,A,Host,Deep Aposymbiotic,2.54,73,5.59,9.11,59.6,23.99,-21.32
D6-1124-Host,D6,A,A,Host,Deep Aposymbiotic,4.31,81.6,3.68,10.24,57.1,13.54,-20.63
D7-1124-Host,D7,A,A,Host,Deep Aposymbiotic,3.19,60.7,3.7,9.18,50.2,16.08,-21.48
D8-1124-Host,D8,A,A,Host,Deep Aposymbiotic,1.49,32.7,4.27,9.45,23.4,16.11,-20.77
D9-1124-Host,D9,A,A,Host,Deep Aposymbiotic,7.13,198.6,5.41,9.15,152.2,21.86,-20.95
S1-A-1124-Host,S1,S,A,Host,Shallow Aposymbiotic,1.93,59.4,6.01,6.74,63.2,33.2,-21.21
S10-A-1124-Host,S10,S,A,Host,Shallow Aposymbiotic,0.19,12.5,12.84,8.56,11.4,61.87,-21.53
S11-A-new_1124-Host,S11-new,S,A,Host,Shallow Aposymbiotic,4.06,126.6,6.18,8.92,92.6,23.27,-20.42
S11-A-old-1124-Host,S11-old,S,A,Host,Shallow Aposymbiotic,4.44,131,5.86,9.06,107,24.54,-21.03
S12-A-1124-Host,S12,S,A,Host,Shallow Aposymbiotic,5.81,139.5,4.75,8.59,108.1,18.95,-20.67
S15-A-1124-Host,S15,S,A,Host,Shallow Aposymbiotic,6.05,204.5,6.69,9.53,166.3,28.04,-20.69
S16-A-1124-Host,S16,S,A,Host,Shallow Aposymbiotic,4.3,123.2,5.52,8.88,93.3,21.78,-20.62
S17-A-1124-Host,S17,S,A,Host,Shallow Aposymbiotic,5.28,109.1,4.09,8.94,83.1,16.04,-20.76
S18-A-1124-Host,S18,S,A,Host,Shallow Aposymbiotic,4.87,148.6,5.88,8.67,114.7,23.64,-21.13
S19-A-1124-Host,S19,S,A,Host,Shallow Aposymbiotic,8,174.2,4.19,8.83,135.4,17.01,-20.78
S21-A-1124-Host,S21,S,A,Host,Shallow Aposymbiotic,6.56,141.7,4.28,9.53,112.5,17.49,-20.42
S22-A-1124-Host,S22,S,A,Host,Shallow Aposymbiotic,7.86,220.7,5.56,9.25,184.7,23.98,-20.78
S26-A-1124-Host,S26,S,A,Host,Shallow Aposymbiotic,4.54,155.8,6.81,8.84,140.7,31.58,-20.63
S6-A-1124-Host,S6,S,A,Host,Shallow Aposymbiotic,4.03,108.3,5.33,8.89,82.6,20.86,-20.66
S7-A-1124-Host,S7,S,A,Host,Shallow Aposymbiotic,6.3,167.4,5.21,9.32,122.7,19.73,-20.33
S9-A-1124-Host,S9,S,A,Host,Shallow Aposymbiotic,7.03,182.4,5,8.76,138.2,19.76,-20.3
A-18-S-1124-Host,A18,A,S,Host,Shallow Symbiotic,7.35,170.4,4.46,8.49,135.1,18.37,-20.88
A10-S-1124-Host,A10,A,S,Host,Shallow Symbiotic,4.91,159.9,6.45,9.21,119.7,24.85,-20.36
A11-S-new-1124-Host,A11-new,A,S,Host,Shallow Symbiotic,6.12,126.7,4.05,9.22,97.4,16.13,-20.55
A11-S-old-1124-Host,A11-old,A,S,Host,Shallow Symbiotic,7.41,204.8,5.47,8.96,166,22.83,-20.86
A12-S-1124-Host,A12,A,S,Host,Shallow Symbiotic,4.25,116.2,5.41,8.87,91.3,21.89,-21.09
A13-S-old-1124-Host,A13-old,A,S,Host,Shallow Symbiotic,7.9,152.4,3.77,7.98,116.6,14.95,-20.63
A14-S-new-1124-Host,A14-new,A,S,Host,Shallow Symbiotic,3.92,79.5,3.97,9.28,61.5,15.88,-21.13
A14-S-old-1124-Host,A14-old,A,S,Host,Shallow Symbiotic,4.71,126.3,5.24,9.3,93.8,20.16,-20.38
A15-S-1124-Host,A15,A,S,Host,Shallow Symbiotic,7.25,149.6,3.97,8.39,113.3,15.66,-20.32
A24-S-1124-Host,A24,A,S,Host,Shallow Symbiotic,5.88,150.9,4.93,8.31,121.2,20.67,-20.65
A25-S-1124-Host,A25,A,S,Host,Shallow Symbiotic,5.54,128.8,4.55,9.3,112.6,20.57,-21.32
A5-S-1124-Host,A5,A,S,Host,Shallow Symbiotic,6.34,170.4,5.17,8.54,134.5,21.27,-20.7
A8-S-1124-Host,A8,A,S,Host,Shallow Symbiotic,5.3,151.2,5.49,8.99,132.4,25.11,-20.98
A9-S-1124-Host,A9,A,S,Host,Shallow Symbiotic,7.25,126.9,3.47,8.32,93.3,13.11,-20.38
S1-S-1124-Host,S1,S,S,Host,Shallow Symbiotic,4.63,137,5.72,9.09,104,22.59,-20.51
S10-S-1124-Host,S10,S,S,Host,Shallow Symbiotic,5.98,173.4,5.74,8.6,131.5,22.44,-20.62
S11-S-new_1124-Host,S11-new,S,S,Host,Shallow Symbiotic,3.66,114.1,6.17,9.05,90.5,25.16,-20.79
S11-S-old-1124-Host,S11-old,S,S,Host,Shallow Symbiotic,3.51,122.8,6.93,8.99,110.7,32.15,-21.51
S12-S-1124-Host,S12,S,S,Host,Shallow Symbiotic,5.43,145.7,5.32,8.21,112.6,21.12,-20.86
S15-S-1124-Host,S15,S,S,Host,Shallow Symbiotic,7.04,177.8,5.01,9.23,144.6,20.93,-20.72
S16-S-1124-Host,S16,S,S,Host,Shallow Symbiotic,7.41,183.1,4.76,8.79,137.1,18.57,-20.63
S17-S-1124-Host,S17,S,S,Host,Shallow Symbiotic,3.49,101,5.75,9.18,77.4,22.62,-20.62
S18-S-1124-Host,S18,S,S,Host,Shallow Symbiotic,4.7,141.6,5.81,8.71,108.9,23.25,-21.13
S19-S-1124-Host,S19,S,S,Host,Shallow Symbiotic,5.78,159.5,5.31,9.12,127.9,22.27,-20.76
S21-S-1124-Host,S21,S,S,Host,Shallow Symbiotic,3.83,120.5,6.25,9.13,94.8,25.23,-20.72
S22-S-1124-Host,S22,S,S,Host,Shallow Symbiotic,5.03,138.3,5.45,9.2,107.4,21.77,-20.79
S26-S-1124-Host,S26,S,S,Host,Shallow Symbiotic,8.02,246.6,6.11,8.66,205.6,26.08,-20.54
S6-S-1124-Host,S6,S,S,Host,Shallow Symbiotic,3.82,81.4,4.23,8.22,60.1,16.04,-20.69
S7-S-1124-Host,S7,S,S,Host,Shallow Symbiotic,8.06,203.2,4.85,8.13,154.5,19.26,-20.55
S9-S-1124-Host,S9,S,S,Host,Shallow Symbiotic,4.26,140.3,6.45,8.44,111.6,26.57,-20.1
F1-1,F1,N/A,N/A,Filter,Filter,17.97,2.1,0.02,4.03,3.4,0.19,-24.82
F1-2,F1,N/A,N/A,Filter,Filter,19.74,2.1,0.02,5.37,3.8,0.20,-24.56
F2-1,F2,N/A,N/A,Filter,Filter,18.6,1.7,0.02,3.95,2.8,0.15,-24.42
F2-2,F2,N/A,N/A,Filter,Filter,20.09,1.9,0.02,5.61,3.4,0.17,-24.19
F3-1,F3,N/A,N/A,Filter,Filter,21.27,2.0,0.02,4.82,2.9,0.14,-23.64
F3-2,F3,N/A,N/A,Filter,Filter,20.49,1.5,0.01,5.90,2.4,0.12,-24.23
F5-1,F5,N/A,N/A,Filter,Filter,17.19,2.2,0.03,6.58,5.2,0.31,-24.90
F5-2,F5,N/A,N/A,Filter,Filter,20.02,2.1,0.02,4.10,7.0,0.36,-25.37
